iter	Accuracy	Logloss
436	1	0.0766522089
437	1	0.07634701292
438	1	0.07627872095
439	1	0.07603901673
440	1	0.07581436112
441	1	0.07565542209
442	1	0.07554458566
443	1	0.07510117318
444	1	0.07498791096
445	1	0.07461158851
446	1	0.07436558052
447	1	0.07427611317
448	1	0.07406122613
449	1	0.0737843294
450	1	0.07356167519
451	1	0.07318151292
452	1	0.0731300315
453	1	0.07312174957
454	1	0.07299150591
455	1	0.07273931002
456	1	0.07250059212
457	1	0.07220821338
458	1	0.07199899445
459	1	0.07186014164
460	1	0.07164829417
461	1	0.07163515132
462	1	0.07162798393
463	1	0.0715033952
464	1	0.07138879204
465	1	0.07109851465
466	1	0.07095122473
467	1	0.07087371279
468	1	0.07074041022
469	1	0.07056503556
470	1	0.07048138017
471	1	0.07035428152
472	1	0.07022343427
473	1	0.07002469752
474	1	0.06990339014
475	1	0.06969087155
476	1	0.06957081908
477	1	0.06937199372
478	1	0.06909936086
479	1	0.06876097668
480	1	0.06848008296
481	1	0.06844234809
482	1	0.06828958676
483	1	0.06823743776
484	1	0.06805961828
485	1	0.06779935794
486	1	0.0674289651
487	1	0.06733739501
488	1	0.06713714478
489	1	0.06701537528
490	1	0.06685242253
491	1	0.06653619194
492	1	0.06633695703
493	1	0.06630181068
494	1	0.06617260121
495	1	0.06586356317
496	1	0.06566507534
497	1	0.06560539318
498	1	0.0655236439
499	1	0.06534122184
